City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Aden,YE,79.18,clear sky,12.7794,45.0367,Sama Emirate Hotel
3,Manicore,BR,72.32,light rain,-5.8092,-61.3003,Hotel Durval
5,Hilo,US,71.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Chinhoyi,ZW,74.21,few clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
15,Guatire,VE,73.69,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
18,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
19,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Iquitos,PE,71.64,very heavy rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
24,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
27,Codrington,AU,68.74,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
28,Motema,SL,67.68,overcast clouds,8.6,-11.0333,Diamond Lodge
32,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
34,Lahaina,US,75.81,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
36,Arraial Do Cabo,BR,76.28,clear sky,-22.9661,-42.0278,Pousada Porto Praia
38,Basco,PH,76.14,broken clouds,20.4487,121.9702,Nathaniel's Lodge
39,San Cristobal,VE,66.2,overcast clouds,7.7669,-72.225,Pirineos
43,Cape Town,ZA,62.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
46,Kapaa,US,75.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Kribi,CM,79.03,broken clouds,2.95,9.9167,La Grace Hôtel
53,Mataura,NZ,62.47,broken clouds,-46.1927,168.8643,Ellie's Villa
55,Jiayuguan,CN,61.29,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
62,Diofior,SN,66.27,clear sky,14.1833,-16.6667,Souimanga Lodge
65,Byron Bay,AU,76.89,few clouds,-28.65,153.6167,Backpackers Inn
66,Taltal,CL,65.01,scattered clouds,-25.4,-70.4833,Residencial Karime
67,Ngunguru,NZ,66.02,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
68,Puerto Escondido,MX,76.55,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
72,Bluff,NZ,62.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
75,Flinders,AU,76.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
78,East London,ZA,61.74,light rain,-33.0153,27.9116,Tu Casa
80,Cabo San Lucas,MX,67.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Puerto Carreno,CO,75.9,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
83,Katsuura,JP,66.7,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
87,Port Alfred,ZA,65.61,overcast clouds,-33.5906,26.891,The Halyards Hotel
88,Coquimbo,CL,62.31,clear sky,-29.9533,-71.3436,Hotel San Juan
90,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
99,Wanaka,NZ,62.58,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
100,Asuncion,PY,65.64,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
103,Sao Joao Da Barra,BR,76.51,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
111,Tshela,CD,76.03,overcast clouds,-4.9833,12.9333,Hotel Mirador
114,Kashan,IR,68.18,clear sky,33.9831,51.4364,Manouchehri Traditional House
118,Cidreira,BR,69.42,overcast clouds,-30.1811,-50.2056,Hotel Castelo
120,Iquique,CL,69.49,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
123,Conakry,GN,77.07,mist,9.538,-13.6773,Riviera Royal Hotel
145,Manjo,CM,74.97,overcast clouds,4.8428,9.8217,Hôtel la Grace
146,Rantepao,ID,77.31,scattered clouds,-2.9701,119.8978,Hotel Luta Resort
148,Atuona,PF,79.0,light rain,-9.8,-139.0333,Villa Enata
151,Atar,MR,63.95,few clouds,20.5169,-13.0499,Oumou Elghoura
152,Hasaki,JP,72.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
159,Ahuimanu,US,76.14,broken clouds,21.4447,-157.8378,Paradise Bay Resort
167,Hobart,AU,60.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
168,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
169,Mount Gambier,AU,66.11,thunderstorm with rain,-37.8333,140.7667,The Commodore
173,Loandjili,CG,78.91,few clouds,-4.7561,11.8578,Résidence ARCHANGE
175,Ambilobe,MG,79.21,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
177,Puerto Ayora,EC,74.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
181,Coahuayana,MX,67.78,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
188,Caravelas,BR,75.78,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
197,Belmonte,BR,76.62,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
198,Alta Floresta,BR,69.66,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
200,Richards Bay,ZA,75.9,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,Sinnamary,GF,74.86,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Mindelo,CV,67.55,few clouds,16.8901,-24.9804,Hotel Gaudi
215,Zunilito,GT,72.97,clear sky,14.6167,-91.5167,Rancho Los Pintos
218,Bubaque,GW,74.43,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Nicoya,CR,76.12,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
232,Pimentel,PE,73.0,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
236,Medellin,CO,64.17,scattered clouds,6.2518,-75.5636,Hotel Nutibara
241,Namibe,AO,71.46,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
242,Morrope,PE,77.0,overcast clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
244,Antofagasta,CL,65.61,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
250,Portmore,JM,78.76,few clouds,17.9702,-76.8672,Salmon Way Inn
253,Sao Filipe,CV,70.54,clear sky,14.8961,-24.4956,Hotel Xaguate
256,Resistencia,AR,62.65,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
262,Dawlatabad,AF,74.95,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
264,Portobelo,PA,77.72,broken clouds,9.55,-79.65,Scuba Portobelo
267,Biltine,TD,79.97,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
272,Naze,JP,70.72,broken clouds,28.3667,129.4833,Shishime Hotel
276,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
277,Capao Bonito,BR,66.2,overcast clouds,-24.0058,-48.3494,HOTEL PASSARIM
280,Nelson Bay,AU,77.09,clear sky,-32.7167,152.15,Mantra Nelson Bay
281,Port Elizabeth,ZA,62.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
282,Cayenne,GF,74.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
289,Nisia Floresta,BR,77.38,light rain,-6.0911,-35.2086,Rancho Crepusculo
290,La Union,PE,77.45,light rain,-5.4,-80.75,Los Portales
291,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
298,Touros,BR,78.35,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
300,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
303,Nishihara,JP,74.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
306,Nouadhibou,MR,60.78,sand,20.931,-17.0347,El Medina
307,Puerto Guzman,CO,70.72,overcast clouds,0.9703,-76.5858,Hotel Campo Verde
308,Inirida,CO,71.6,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
309,Pisco,PE,69.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
311,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
314,Quelimane,MZ,73.35,light intensity drizzle,-17.8786,36.8883,Hotel Flamingo
315,Cooma,AU,71.37,scattered clouds,-36.2333,149.1333,High Country Motel
