City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aden,YE,12.7794,45.0367,79.18,66,5,14.54,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,19.57,few clouds
2,Bredasdorp,ZA,-34.5322,20.0403,54.72,82,98,9.22,overcast clouds
3,Manicore,BR,-5.8092,-61.3003,72.32,100,100,1.88,light rain
4,Bethel,US,41.3712,-73.414,31.66,69,100,4.61,overcast clouds
5,Hilo,US,19.7297,-155.09,71.33,85,0,1.01,clear sky
6,Rikitea,PF,-23.1203,-134.9692,80.11,72,55,14.36,broken clouds
7,Teya,RU,60.3778,92.6267,10.49,74,95,2.75,overcast clouds
8,Cabra,ES,37.4725,-4.4421,53.19,88,100,1.01,light rain
9,Longyearbyen,SJ,78.2186,15.6401,30.83,94,100,18.81,snow
10,Chinhoyi,ZW,-17.3667,30.2,74.21,70,14,4.03,few clouds
11,Busselton,AU,-33.65,115.3333,80.13,55,41,14.07,scattered clouds
12,Montescaglioso,IT,40.5522,16.6669,44.01,64,3,3.87,clear sky
13,Tuktoyaktuk,CA,69.4541,-133.0374,-3.6,82,100,15.12,overcast clouds
14,Yulara,AU,-25.2406,130.9889,100.24,13,40,11.5,scattered clouds
15,Guatire,VE,10.4762,-66.5427,73.69,98,100,1.72,overcast clouds
16,Khani,GE,41.9563,42.9566,27.97,69,100,3.53,overcast clouds
17,Kodiak,US,57.79,-152.4072,40.51,81,100,14.97,light rain
18,New Norfolk,AU,-42.7826,147.0587,62.1,74,100,3.18,overcast clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,63.09,88,1,18.99,clear sky
20,Gilgit,PK,35.9221,74.3087,56.34,57,100,1.3,overcast clouds
21,Iquitos,PE,-3.7481,-73.2472,71.64,100,100,4.61,very heavy rain
22,Dondo,MZ,-19.6094,34.7431,80.11,65,5,2.42,clear sky
23,Vila,PT,42.0304,-8.1588,40.08,95,100,3.98,overcast clouds
24,Kahului,US,20.8947,-156.47,75.85,72,40,11.5,scattered clouds
25,Zheleznodorozhnyy,RU,55.7503,38.0042,36.21,96,100,5.88,light snow
26,Albany,US,42.6001,-73.9662,28.72,74,56,4.54,broken clouds
27,Codrington,AU,-38.2667,141.9667,68.74,80,100,13.44,overcast clouds
28,Motema,SL,8.6,-11.0333,67.68,99,86,2.01,overcast clouds
29,Buala,SB,-8.145,159.5921,83.32,75,40,3.49,scattered clouds
30,Barrow,US,71.2906,-156.7887,-0.38,71,0,12.66,clear sky
31,Kuliyapitiya,LK,7.4688,80.0401,89.28,34,99,4.36,overcast clouds
32,Avarua,CK,-21.2078,-159.775,78.85,89,20,1.14,few clouds
33,Pangnirtung,CA,66.1451,-65.7125,-30.66,94,47,4.09,scattered clouds
34,Lahaina,US,20.8783,-156.6825,75.81,83,32,12.68,scattered clouds
35,Cherskiy,RU,68.75,161.3,-14.51,99,98,3.89,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,91,0,17.6,clear sky
37,Plettenberg Bay,ZA,-34.0527,23.3716,59.54,73,92,12.33,light rain
38,Basco,PH,20.4487,121.9702,76.14,88,75,13.6,broken clouds
39,San Cristobal,VE,7.7669,-72.225,66.2,98,100,1.83,overcast clouds
40,Faanui,PF,-16.4833,-151.75,81.97,73,100,12.3,overcast clouds
41,Saint-Philippe,RE,-21.3585,55.7679,80.22,82,42,14.76,light rain
42,Fort Saint James,CA,54.4333,-124.25,28.36,96,100,3.44,snow
43,Cape Town,ZA,-33.9258,18.4232,62.11,63,20,4.61,few clouds
44,Grand Gaube,MU,-20.0064,57.6608,84.6,78,100,10.0,overcast clouds
45,Sorong,ID,-0.8833,131.25,83.19,77,100,4.74,overcast clouds
46,Kapaa,US,22.0752,-159.319,75.18,77,40,12.66,scattered clouds
47,Salalah,OM,17.0151,54.0924,87.89,20,0,3.44,clear sky
48,Provideniya,RU,64.3833,-173.3,11.3,58,0,8.63,clear sky
49,Kribi,CM,2.95,9.9167,79.03,83,67,4.16,broken clouds
50,Beloha,MG,-25.1667,45.05,87.13,41,37,10.85,scattered clouds
51,Luderitz,NA,-26.6481,15.1594,64.62,59,0,23.82,clear sky
52,Kulhudhuffushi,MV,6.6221,73.07,82.87,70,100,9.95,overcast clouds
53,Mataura,NZ,-46.1927,168.8643,62.47,80,80,3.6,broken clouds
54,Perama,GR,37.9757,23.5828,44.65,64,20,3.44,few clouds
55,Jiayuguan,CN,39.8167,98.3,61.29,19,100,17.74,overcast clouds
56,Necochea,AR,-38.5473,-58.7368,59.72,74,31,10.65,scattered clouds
57,Den Helder,NL,52.9599,4.7593,47.97,93,100,13.0,mist
58,Sungairaya,ID,0.7,108.9,86.79,62,93,8.95,overcast clouds
59,Ilulissat,GL,69.2167,-51.1,8.62,72,100,4.61,overcast clouds
60,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,21.85,clear sky
61,Santo Tomas,PH,14.1079,121.1414,88.56,60,94,2.21,overcast clouds
62,Diofior,SN,14.1833,-16.6667,66.27,61,3,11.05,clear sky
63,Leshukonskoye,RU,64.8989,45.7622,17.31,90,57,5.57,broken clouds
64,Thunder Bay,CA,48.4001,-89.3168,4.98,92,75,3.44,broken clouds
65,Byron Bay,AU,-28.65,153.6167,76.89,70,15,14.09,few clouds
66,Taltal,CL,-25.4,-70.4833,65.01,85,32,1.12,scattered clouds
67,Ngunguru,NZ,-35.6167,174.5,66.02,74,4,0.6,clear sky
68,Puerto Escondido,MX,15.85,-97.0667,76.55,73,5,4.65,clear sky
69,Alamosa,US,37.4695,-105.87,30.18,64,0,8.05,clear sky
70,Serowe,BW,-22.3833,26.7167,80.51,41,10,9.75,clear sky
71,Tiksi,RU,71.6872,128.8694,-13.2,100,100,2.35,overcast clouds
72,Bluff,NZ,-46.6,168.3333,62.8,80,79,3.27,broken clouds
